"canonicalRowIndex","rep","n","m","lambda","eta","pStar","areaStar","selectedCandidateStar","p2Winner","p2Area","p2Comparable","p2WinnerDiffers","p2RelativeGain","ci1P","ci1Winner","ci1Area","ci1Comparable","ci1WinnerDiffers","ci1RelativeGain"
5109,109,51,7,0.5,2,"1.5845070422535212",0.03741988988967128,4,4,0.036917293176806996,true,false,0.013614126866160247,1.5849625007211563,4,0.037419886040059955,true,false,1.0287608358927026e-7
5110,110,51,7,0.5,2,"1.0746696385925807",0.01293513647359169,4,4,-0.026274029804414175,true,false,1.4923164269007,1.5849625007211563,4,-0.013149320104241054,true,false,1.9837114292639146
5111,111,51,7,0.5,2,"1.0623229461756374",0.0033044262356719412,3,4,-0.00973103741012861,true,true,1.3395759461609416,1.5849625007211563,3,-0.0057151463204035005,true,false,1.5781875126932259
5113,113,51,7,0.5,2,"1",0.012808921036769108,4,4,-0.05114977208019685,true,false,1.2504199044462256,1.5849625007211563,4,-0.03995643934683418,true,false,1.3205721342080492
5115,115,51,7,0.5,2,"1.0340073529411764",0.007334195895393194,5,4,-0.012800339111982638,true,true,1.572968874592355,1.5849625007211563,4,-0.0010689233959076758,true,true,7.861292327842974
5116,116,51,7,0.5,2,"1",0.0006457862447529856,5,5,-0.022074681575436805,true,false,1.0292546120108736,1.5849625007211563,5,-0.007348016050279843,true,false,1.0878857967013273
5117,117,51,7,0.5,2,"1.264992503748126",0.02823073845422363,4,4,0.0011016693329170576,true,false,24.6254191804294,1.5849625007211563,4,0.014374350104935157,true,false,0.9639662487788682
5119,119,51,7,0.5,2,"1.1857707509881423",0.034154371162744036,4,4,0.003800575697532069,true,false,7.98663094249706,1.5849625007211563,4,0.013706605097229329,true,false,1.4918184277190596
5122,122,51,7,0.5,2,"1.0025621031525007",0.006979309857137103,5,4,0.0005352655409908468,true,true,12.038967246457682,1.5849625007211563,5,0.004857005613578353,true,false,0.4369573379996903
5123,123,51,7,0.5,2,"1.0965802940459752",0.022688686617354206,3,3,0.00724796152041575,true,false,2.1303541766116827,1.5849625007211563,3,0.013040098718674958,true,false,0.7399167833646331
5125,125,51,7,0.5,2,"1.0746696385925807",0.026240863413928034,4,4,-0.014383959060128109,true,false,2.8243143841160467,1.5849625007211563,4,0.00027546280704341015,true,false,94.26100345660365
5126,126,51,7,0.5,2,"1.1540434262267054",0.009021909541481117,4,4,-0.012283340734950063,true,false,1.734483373550884,1.5849625007211563,4,-0.004791245643580725,true,false,2.8829987465928832
5127,127,51,7,0.5,2,"1.0822510822510822",0.014655559403223271,4,4,-0.026821488830514977,true,false,1.5464111069982642,1.5849625007211563,4,-0.014801077519033862,true,false,1.990168410669868
5131,131,51,7,0.5,2,"1.4142049025769956",0.014564332086072962,4,4,-0.007707312004652652,true,false,2.889677241206915,1.5849625007211563,4,0.008417584536837164,true,false,0.730227005423742
5132,132,51,7,0.5,2,"1.179245283018868",0.013120689789164605,4,4,-0.01945222432270332,true,false,1.6745084557682706,1.5849625007211563,4,-0.006882647503624957,true,false,2.9063434212276875
5133,133,51,7,0.5,2,"1.139432815665091",0.014592394350598305,4,4,-0.05837537403796422,true,false,1.2499751751673265,1.5849625007211563,4,0.005713835960009668,true,false,1.5538700187979524
5134,134,51,7,0.5,2,"1.854140914709518",0.046550914072686266,4,4,0.0441916364088268,true,false,0.053387424761401854,1.5849625007211563,2,0,false,,
5136,136,51,7,0.5,2,"1.0025621031525007",0.00816313979188261,4,4,-0.012674636280514351,true,false,1.6440531792168587,1.5849625007211563,4,-0.00549023397416539,true,false,2.486847342079542
5139,139,51,7,0.5,2,"1",0.00931786216596339,3,3,-0.029596884533851436,true,false,1.3148257768585772,1.5849625007211563,3,-0.027972094944009315,true,false,1.3331127748784852
5140,140,51,7,0.5,2,"1.119310173285797",0.005879018556397468,5,4,-0.007721757861547362,true,true,1.7613575382457503,1.5849625007211563,4,0.002190831409224955,true,true,1.6834646114907006
5141,141,51,7,0.5,2,"1",0.007575757575757602,3,3,-0.05367411415794614,true,false,1.1411435977026936,1.5849625007211563,3,-0.047884514587054755,true,false,1.1582089249747904
5142,142,51,7,0.5,2,"1.067193675889328",0.0021546605396534028,5,5,-0.05037486785128737,true,false,1.04277252986577,1.5849625007211563,5,-0.03563302745877943,true,false,1.0604680739559929
5143,143,51,7,0.5,2,"1.6652275811027506",0.010154300577965205,4,4,0.005870243170840191,true,false,0.7297921538251795,1.5849625007211563,5,-0.0016128000610202227,true,true,7.2960690685625424
5144,144,51,7,0.5,2,"1.0235414534288638",0.01360991344813767,4,4,-0.023987319240840632,true,false,1.5673795104609076,1.5849625007211563,4,-0.01400906312691398,true,false,1.9715077535763637
5148,148,51,7,0.5,2,"1.2289485662266728",0.0157775223060367,5,4,0.008328953633992192,true,true,0.894298251540908,1.5849625007211563,5,0.012587963066435542,true,false,0.25338168079836354
5152,152,51,7,0.5,2,"1.0025621031525007",0.00805904307790176,4,4,-0.03697230292469646,true,false,1.2179751446458733,1.5849625007211563,4,-0.024497664922033847,true,false,1.3289718878738215
5153,153,51,7,0.5,2,"1.3288709518653412",0.05030241516342705,4,4,0.039892730285128006,true,false,0.2609419010405456,1.5849625007211563,4,0.045846306654037994,true,false,0.09719667372587752
5155,155,51,7,0.5,2,"1.1741172377804836",0.02701342957128891,4,4,-0.0013003588713714112,true,false,21.773826492066345,1.5849625007211563,4,0.010976464599882309,true,false,1.4610319038043045
5157,157,51,7,0.5,2,"1.0367469185577698",0.008577737498447176,3,4,-0.019596628265537822,true,true,1.4377149671983005,1.5849625007211563,4,-0.013072699530644109,true,true,1.6561565557549796
5158,158,51,7,0.5,2,"1.105560560150684",0.017732924743838842,5,5,-0.005454338062375086,true,false,4.251159818303792,1.5849625007211563,5,0.0017664708208391577,true,false,9.038617414249085
5161,161,51,7,0.5,2,"1.105560560150684",0.010676056959251579,3,4,-0.018389436059088757,true,true,1.5805537986563252,1.5849625007211563,4,-0.007722096105240146,true,true,2.382533552257515
5162,162,51,7,0.5,2,"1.2016021361815754",0.031284013273358495,4,4,0.0013063083771733893,true,false,22.948413575247322,1.5849625007211563,4,0.01448656305394354,true,false,1.1595193529939696
5164,164,51,7,0.5,2,"1.179245283018868",0.011582746418969465,3,4,-0.009519657549334483,true,true,2.2167188114638865,1.5849625007211563,3,-0.007556348217929339,true,false,2.5328497423512704
5165,165,51,7,0.5,2,"1.0709186101856258",0.011729248285490206,3,4,-0.027043254839075423,true,true,1.4337217674161893,1.5849625007211563,3,-0.01772831544543533,true,false,1.6616109873265055
5168,168,51,7,0.5,2,"1.1239696944467572",0.02311543900564192,4,4,-0.016987846894607514,true,false,2.3607044582547716,1.5849625007211563,4,-0.00463234234240164,true,false,5.9900109484692585
5169,169,51,7,0.5,2,"1.0784470362677743",0.017931207170316724,3,4,-0.0038405817144526464,true,true,5.6688779209772,1.5849625007211563,4,0.0028441694289226514,true,true,5.304549577100588
5173,173,51,7,0.5,2,"1",0.008138711960368009,4,4,-0.039990363769707535,true,false,1.203516827384627,1.5849625007211563,4,-0.02045930477176659,true,false,1.3978000255218477
5174,174,51,7,0.5,2,"1.047811238745731",0.0060709141827464215,3,3,0.0031330650389684686,true,false,0.9376917195262603,1.5849625007211563,3,0.004844713266508336,true,false,0.25310082326540423
5175,175,51,7,0.5,2,"1.1962782454585732",0.024803001180078155,4,4,-0.011005247856869557,true,false,3.2537430780894168,1.5849625007211563,4,0.006857445536350369,true,false,2.6169446842269304
5176,176,51,7,0.5,2,"1.047811238745731",0.012655829339225167,5,5,-0.02181806315161718,true,false,1.5800619996045389,1.5849625007211563,5,-0.011977765939594263,true,false,2.056610172802715
5177,177,51,7,0.5,2,"1.0025621031525007",0.017367667897815638,3,3,-0.006138998582136634,true,false,3.8290718209892383,1.5849625007211563,3,0.0014534218160321274,true,false,10.949502688235231
5179,179,51,7,0.5,2,"1.1239696944467572",0.0252190284776052,4,4,0.0038885653086511993,true,false,5.485432666258281,1.5849625007211563,4,0.012922714535890452,true,false,0.9515271661819974
5181,181,51,7,0.5,2,"1.0921446484912223",0.011964464298073563,4,4,-0.024354553645487415,true,false,1.4912619000221514,1.5849625007211563,4,-0.013427433475004372,true,false,1.891046253950602
5182,182,51,7,0.5,2,"1.119310173285797",0.0011082019797325367,5,5,-0.019104898628099158,true,false,1.0580061690619291,1.5849625007211563,5,-0.008580863327861598,true,false,1.1291480748952456
5185,185,51,7,0.5,2,"1",0.0021853146853146547,3,4,-0.04719223883163211,true,true,1.046306654217258,1.5849625007211563,4,-0.030537377090307728,true,true,1.0715619641743317
5186,186,51,7,0.5,2,"1.0025621031525007",0.005309524985636323,4,4,-0.05835294596557405,true,false,1.0909898360361914,1.5849625007211563,4,-0.02121922515451406,true,false,1.250222378384387
5187,187,51,7,0.5,2,"1.0025621031525007",0.01133650708079689,3,3,-0.0018429353031376326,true,false,7.151332095866995,1.5849625007211563,3,0.003010617285622729,true,false,2.765509198042088
5188,188,51,7,0.5,2,"1.31591773077298",0.010740118284513355,4,4,-0.01558260712803402,true,false,1.6892375708549603,1.5849625007211563,4,0.0036480876413659755,true,false,1.944040642754917
5194,194,51,7,0.5,2,"1.0367469185577698",0.005491772760825106,5,4,-0.023710005691870574,true,true,1.2316225829801495,1.5849625007211563,4,-0.014589977404812292,true,true,1.3764072149291833
5199,199,51,7,0.5,2,"1.158997252747253",0.004126320050591308,4,4,-0.048597336515384164,true,false,1.0849083580801813,1.5849625007211563,4,-0.032456338358997514,true,false,1.1271344908027008
5202,2,51,7,0.5,3,"1.2345679012345678",0.022638581358631244,3,4,0.011649257519911792,true,true,0.9433497216398272,1.5849625007211563,4,0.01769744222797988,true,true,0.2792007492946841
5203,3,51,7,0.5,3,"1.0182147301730964",0.014753655524010575,3,4,-0.008781296364959591,true,true,2.6801227188826884,1.5849625007211563,4,0.00047493450592194907,true,true,30.06461067799356
5204,4,51,7,0.5,3,"1.1639937920331092",0.00139650918971377,4,4,-0.01315602351068576,true,false,1.1061497943188896,1.5849625007211563,4,-0.006957286679738251,true,false,1.2007261241341158
5205,5,51,7,0.5,3,"3.2902754082378745",0.014737313519537214,4,3,-0.022010886098357756,true,true,1.6695465804367036,1.5849625007211563,3,-0.019233570716893744,true,true,1.7662286809070111
5206,6,51,7,0.5,3,"1",0.013809182209469162,5,5,-0.004591628181782266,true,false,4.007469608331625,1.5849625007211563,5,0.0020018299618683854,true,false,5.898279310686567
5208,8,51,7,0.5,3,"1.2123933542882803",0.01034153610264476,4,4,-0.007274222657831436,true,false,2.4216688970210516,1.5849625007211563,4,0.0006940141186482893,true,false,13.901045706082556
5210,10,51,7,0.5,3,"1.1286681715575622",0.045711317326806625,4,4,-0.0003206094162588067,true,false,143.5763405835433,1.5849625007211563,4,0.01647875971569184,true,false,1.7739537510992518
5212,12,51,7,0.5,3,"1.0965802940459752",0.001173148251918621,3,4,-0.019238595858946175,true,true,1.0609788916259755,1.5849625007211563,3,-0.014238026339083233,true,false,1.0823954264432243
5213,13,51,7,0.5,3,"1.253249164500557",0.01866227914492046,4,4,0.01113572368624239,true,false,0.675892799672889,1.5849625007211563,4,0.015157823900757792,true,false,0.23119778057241247
5214,14,51,7,0.5,3,"1",0.02674258109040714,3,3,-0.001537060618292123,true,false,18.398520768895683,1.5849625007211563,3,0.01985922899447651,true,false,0.3466072171203178
5215,15,51,7,0.5,3,"1.0623229461756374",0.03960250896717359,4,4,0.01563122721022369,true,false,1.5335508488592215,1.5849625007211563,4,0.02378574647428076,true,false,0.6649680938117838
5216,16,51,7,0.5,3,"1.0514018691588785",0.005677713377987607,5,4,-0.0030008134099992444,true,true,2.8920581196646404,1.5849625007211563,4,0.0005098864019138337,true,true,10.135251610312782
5218,18,51,7,0.5,3,"1.264992503748126",0.01270413657047337,5,5,0.0020752121487919548,true,false,5.121849555414776,1.5849625007211563,5,0.003830289080541277,true,false,2.3167565954781892
5222,22,51,7,0.5,3,"1.2345679012345678",0.018150545854807333,5,4,0.0077232737719803626,true,true,1.350110379442533,1.5849625007211563,4,0.013348719416611228,true,true,0.35972187955502927
