"experimentSeed","model","n","m","lambda","eta","legitimacySignal","reps","nOnePoint","nTwoPoint","nMultiPoint","onePointFrequency","twoPointFrequency","multiPointFrequency","meanMaxFrontSize","nCalibrated","nDegenerate","calibratedFrequency","degenerateFrequency","nMultiPointDegenerate","multiPointDegenerateFrequency","calibratedGivenMultiPoint","meanPStar","medianPStar","q1PStar","q3PStar","minPStar","maxPStar","meanAreaStar","medianAreaStar","nDegenerateWithWinnerSwitch","nDegenerateWithFiniteWinnerSwitch","nDegenerateWithInfinityWinnerSwitch","winnerSwitchFrequencyGivenDegenerate","finiteWinnerSwitchFrequencyGivenDegenerate","meanFirstWinnerSwitchP","medianFirstWinnerSwitchP","q1FirstWinnerSwitchP","q3FirstWinnerSwitchP"
123456,"TwoPole",51,3,0.8,2,"TopSupport",200,62,134,4,0.31,0.67,0.02,1.71,1,199,0.005,0.995,3,0.015,0.25,"1.","1.","1.","1.","1.","1.","0.0014619883040935663","0.0014619883040935663",101,101,0,0.507537688442211,0.507537688442211,2.1994893388654218,2.00001159674693,1.4150462671072566,2.8745095183915805
123456,"TwoPole",51,3,0.8,3,"TopSupport",200,107,86,7,0.535,0.43,0.035,1.5,4,196,0.02,0.98,3,0.015,0.5714285714285714,"1.709896906326104","1.6164533994450254","1.","2.009526644834772","1.","2.6066808264143657","0.004517606201657052","0.003673883359428253",51,51,0,0.2602040816326531,0.2602040816326531,1.8079804222944849,1.5849633566706869,1.2224008081692845,2.115479157514041
123456,"TwoPole",51,5,0.5,1,"TopSupport",200,0,0,200,0,0,1,4.04,137,63,0.685,0.315,63,0.315,0.685,"1.7538943499012793","1.5112504197917833","1.2016021361815754","2.035892022319409","1.","5.9628975265017665","0.021818180896864943","0.02033498929864356",32,32,0,0.5079365079365079,0.5079365079365079,1.0892152344182384,1.0692647134315738,1.0198581012861516,1.1033262248569284
123456,"TwoPole",51,5,0.5,2,"TopSupport",200,0,14,186,0,0.07,0.93,3.61,125,75,0.625,0.375,61,0.305,0.6720430107526881,"2.831372298527217","2.141157811260904","1.5028386953133697","3.2798833819241984","1.","11.042944785276074","0.01921745140558232","0.015832247113344203",23,23,0,0.30666666666666664,0.30666666666666664,1.4063708779136836,1.149989024076316,1.0480226440439449,1.2969128068754427
123456,"TwoPole",51,5,0.5,3,"TopSupport",200,5,43,152,0.025,0.215,0.76,3.1,110,90,0.55,0.45,42,0.21,0.7236842105263158,"3.195723785866466","2.3186476579276367","1.4542712485187976","3.9244186046511618","1.","12.064343163538874","0.012249276171856407","0.008816939437734882",35,35,0,0.3888888888888889,0.3888888888888889,1.7648774955176254,1.33215734238513,1.090969867151246,2.202775989822379
123456,"TwoPole",51,5,0.6,1,"TopSupport",200,0,0,200,0,0,1,3.27,139,61,0.695,0.305,61,0.305,0.695,"2.5005580317610923","2.267002518891687","1.801441152922338","2.9163966299416724","1.348786092516735","5.592377796188898","0.020981353669318876","0.017118200522802107",61,61,0,1,1,1.453140399355121,1.4371075754050582,1.3528563339484245,1.5638411370682797
123456,"TwoPole",51,5,0.6,2,"TopSupport",200,0,47,153,0,0.235,0.765,2.885,81,119,0.405,0.595,72,0.36,0.5294117647058824,"4.197932054977927","3.3724706470147385","2.632092025736011","4.775380261761585","1.2709470909433254","17.704918032786885","0.014640756347353382","0.012216151420023922",101,101,0,0.8487394957983193,0.8487394957983193,1.7215001647033856,1.4718875673383618,1.2410250272875527,1.894401346800958
123456,"TwoPole",51,5,0.6,3,"TopSupport",200,9,91,100,0.045,0.455,0.5,2.54,55,145,0.275,0.725,45,0.225,0.55,"5.092017802369515","4.368932038834951","3.0228392297357813","7.053291536050157","1.","15.428571428571425","0.011127019944363792","0.007233567722999775",101,101,0,0.696551724137931,0.696551724137931,2.112487043232636,1.6985160014689926,1.3219291661716357,2.4009281908667575
123456,"TwoPole",51,5,0.7,1,"TopSupport",200,0,5,195,0,0.025,0.975,3.03,154,46,0.77,0.23,41,0.205,0.7897435897435897,"3.5052433944755674","3.1649917433564356","2.6066808264143657","4.04191616766467","1.7660910518053372","9.64630225080386","0.017727084707413132","0.017247247948573484",45,45,0,0.9782608695652174,0.9782608695652174,2.0106074539274768,2.00001159674693,1.8152462850132773,2.2024006758832155
123456,"TwoPole",51,5,0.7,2,"TopSupport",200,5,74,121,0.025,0.37,0.605,2.58,92,108,0.46,0.54,29,0.145,0.7603305785123967,"5.347068520077423","4.996726792589606","3.7087912087912085","6.238447319778189","2.1034590215020255","19.285714285714285","0.013230697353228934","0.012349975073737873",95,95,0,0.8796296296296297,0.8796296296296297,2.2228774667504587,1.965391523349371,1.5778940738443639,2.584967147535138
